Date,Country_name,Confirmed
2020/7/9,Afghanistan,33898
2020/7/10,Afghanistan,34184
2020/7/11,Afghanistan,34356
2020/7/12,Afghanistan,34441
2020/7/13,Afghanistan,34595
2020/7/14,Afghanistan,34730
2020/7/15,Afghanistan,34984
2020/7/16,Afghanistan,35060
2020/7/17,Afghanistan,35219
2020/7/18,Afghanistan,35279
2020/7/19,Afghanistan,35453
2020/7/20,Afghanistan,35493
2020/7/21,Afghanistan,35605
2020/7/22,Afghanistan,35717
2020/7/23,Afghanistan,35918
2020/7/24,Afghanistan,35978
2020/7/25,Afghanistan,36026
2020/7/26,Afghanistan,36147
2020/7/27,Afghanistan,36253
2020/7/28,Afghanistan,36358
2020/7/29,Afghanistan,36463
2020/7/30,Afghanistan,36532
2020/7/31,Afghanistan,36665
2020/8/1,Afghanistan,36700
2020/8/2,Afghanistan,36701
2020/8/3,Afghanistan,36737
2020/8/4,Afghanistan,36773
2020/8/5,Afghanistan,36820
2020/8/6,Afghanistan,36928
2020/8/7,Afghanistan,37006
2020/8/8,Afghanistan,37046
2020/8/9,Afghanistan,37083
2020/8/10,Afghanistan,37153
2020/8/11,Afghanistan,37260
2020/8/12,Afghanistan,37336
2020/8/13,Afghanistan,37422
2020/8/14,Afghanistan,37497
2020/8/15,Afghanistan,37542
2020/8/16,Afghanistan,37590
2020/8/17,Afghanistan,37667
2020/8/18,Afghanistan,37710
2020/8/19,Afghanistan,37750
2020/8/20,Afghanistan,37852
2020/8/21,Afghanistan,37885
2020/8/22,Afghanistan,37944
2020/8/23,Afghanistan,37990
2020/8/24,Afghanistan,38045
2020/8/25,Afghanistan,38061
2020/8/26,Afghanistan,38103
2020/8/27,Afghanistan,38119
2020/8/28,Afghanistan,38130
2020/8/29,Afghanistan,38133
2020/8/30,Afghanistan,38155
2020/8/31,Afghanistan,38159
2020/9/1,Afghanistan,38193
2020/9/2,Afghanistan,38243
2020/9/3,Afghanistan,38288
2020/9/4,Afghanistan,38304
2020/9/5,Afghanistan,38324
2020/9/6,Afghanistan,38398
2020/9/7,Afghanistan,38494
2020/9/8,Afghanistan,38520
2020/9/9,Afghanistan,38544
2020/9/10,Afghanistan,38572
2020/9/11,Afghanistan,38606
2020/9/12,Afghanistan,38641
2020/9/13,Afghanistan,38716
2020/9/14,Afghanistan,38772
2020/9/15,Afghanistan,38815
2020/9/16,Afghanistan,38855
2020/9/17,Afghanistan,38872
2020/9/18,Afghanistan,38897
2020/9/19,Afghanistan,38919
2020/9/20,Afghanistan,39044
2020/9/21,Afghanistan,39074
2020/9/22,Afghanistan,39096
2020/9/23,Afghanistan,39145
2020/9/24,Afghanistan,39170
2020/9/25,Afghanistan,39186
2020/9/26,Afghanistan,39192
2020/9/27,Afghanistan,39227
2020/9/28,Afghanistan,39239
2020/9/29,Afghanistan,39254
2020/9/30,Afghanistan,39268
2020/10/1,Afghanistan,39285
2020/10/2,Afghanistan,39290
2020/10/3,Afghanistan,39297
2020/10/4,Afghanistan,39341
2020/10/5,Afghanistan,39422
2020/10/6,Afghanistan,39486
2020/10/7,Afghanistan,39548
2020/10/8,Afghanistan,39616
2020/10/9,Afghanistan,39693
2020/10/10,Afghanistan,39703
2020/10/11,Afghanistan,39799
2020/10/12,Afghanistan,39870
2020/10/13,Afghanistan,39928
2020/10/14,Afghanistan,39994
2020/10/15,Afghanistan,40026
2020/10/16,Afghanistan,40088
2020/10/17,Afghanistan,40141
2020/10/18,Afghanistan,40200
2020/10/19,Afghanistan,40287
2020/10/20,Afghanistan,40369
2020/10/21,Afghanistan,40510
2020/10/22,Afghanistan,40626
2020/10/23,Afghanistan,40687
2020/10/24,Afghanistan,40768
2020/10/25,Afghanistan,40833
2020/10/26,Afghanistan,40937
2020/10/27,Afghanistan,41032
2020/10/28,Afghanistan,41145
2020/10/29,Afghanistan,41268
2020/10/30,Afghanistan,41334
2020/10/31,Afghanistan,41425
2020/11/1,Afghanistan,41501
2020/11/2,Afghanistan,41633
2020/11/3,Afghanistan,41728
2020/11/4,Afghanistan,41814
2020/11/5,Afghanistan,41935
2020/11/6,Afghanistan,41975
2020/11/7,Afghanistan,42033
2020/11/8,Afghanistan,42159
2020/11/9,Afghanistan,42297
2020/11/10,Afghanistan,42463
2020/11/11,Afghanistan,42609
2020/11/12,Afghanistan,42795
2020/11/13,Afghanistan,42969
2020/11/14,Afghanistan,43035
2020/11/15,Afghanistan,43240
2020/11/16,Afghanistan,43468
2020/11/17,Afghanistan,43681
2020/11/18,Afghanistan,43924
2020/11/19,Afghanistan,44177
2020/11/20,Afghanistan,44363
2020/11/21,Afghanistan,44503
2020/11/22,Afghanistan,44706
2020/11/23,Afghanistan,44988
2020/11/24,Afghanistan,45174
2020/11/25,Afghanistan,45384
2020/11/26,Afghanistan,45600
2020/11/27,Afghanistan,45723
2020/11/28,Afghanistan,45844
2020/11/29,Afghanistan,46116
2020/11/30,Afghanistan,46274
2020/12/1,Afghanistan,46516
2020/12/2,Afghanistan,46718
2020/12/3,Afghanistan,46837
2020/12/4,Afghanistan,46837
2020/12/5,Afghanistan,47072
2020/12/6,Afghanistan,47306
2020/12/7,Afghanistan,47516
2020/12/8,Afghanistan,47716
2020/12/9,Afghanistan,47851
2020/12/10,Afghanistan,48053
2020/12/11,Afghanistan,48116
2020/12/12,Afghanistan,48229
2020/12/13,Afghanistan,48527
2020/12/14,Afghanistan,48718
2020/12/15,Afghanistan,48952
2020/12/16,Afghanistan,49161
2020/12/17,Afghanistan,49378
2020/12/18,Afghanistan,49621
2020/12/19,Afghanistan,49681
2020/12/20,Afghanistan,49817
2020/12/21,Afghanistan,50013
2020/12/22,Afghanistan,50190
2020/12/23,Afghanistan,50433
2020/12/24,Afghanistan,50655
2020/12/25,Afghanistan,50810
2020/12/26,Afghanistan,50886
2020/12/27,Afghanistan,51039
2020/12/28,Afghanistan,51280
2020/12/29,Afghanistan,51350
2020/1/22,Albania,0
2020/1/23,Albania,0
2020/1/24,Albania,0
2020/1/25,Albania,0
2020/1/26,Albania,0
2020/1/27,Albania,0
2020/1/28,Albania,0
2020/1/29,Albania,0
2020/1/30,Albania,0
2020/1/31,Albania,0
2020/2/1,Albania,0
2020/2/2,Albania,0
2020/2/3,Albania,0
2020/2/4,Albania,0
2020/2/5,Albania,0
2020/2/6,Albania,0
2020/2/7,Albania,0
2020/2/8,Albania,0
2020/2/9,Albania,0
2020/2/10,Albania,0
2020/2/11,Albania,0
2020/2/12,Albania,0
2020/2/13,Albania,0
2020/2/14,Albania,0
2020/2/15,Albania,0
2020/2/16,Albania,0
2020/2/17,Albania,0
2020/2/18,Albania,0
2020/2/19,Albania,0
2020/2/20,Albania,0
2020/2/21,Albania,0
2020/2/22,Albania,0
2020/2/23,Albania,0
2020/2/24,Albania,0
2020/2/25,Albania,0
2020/2/26,Albania,0
2020/2/27,Albania,0
2020/2/28,Albania,0
2020/2/29,Albania,0
2020/3/1,Albania,0
2020/3/2,Albania,0
2020/3/3,Albania,0
2020/3/4,Albania,0
2020/3/5,Albania,0
2020/3/6,Albania,0
2020/3/7,Albania,0
2020/3/8,Albania,0
2020/3/9,Albania,2
2020/3/10,Albania,10
2020/3/11,Albania,12
2020/3/12,Albania,23
2020/3/13,Albania,33
2020/3/14,Albania,38
2020/3/15,Albania,42
2020/3/16,Albania,51
2020/3/17,Albania,55
2020/3/18,Albania,59
2020/3/19,Albania,64
2020/3/20,Albania,70
2020/3/21,Albania,76
2020/3/22,Albania,89
2020/3/23,Albania,104
2020/3/24,Albania,123
2020/3/25,Albania,146
2020/3/26,Albania,174
2020/3/27,Albania,186
2020/3/28,Albania,197
2020/3/29,Albania,212
2020/3/30,Albania,223
2020/3/31,Albania,243
2020/4/1,Albania,259
2020/4/2,Albania,277
2020/4/3,Albania,304
2020/4/4,Albania,333
2020/4/5,Albania,361
2020/4/6,Albania,377
2020/4/7,Albania,383
2020/4/8,Albania,400
2020/4/9,Albania,409
2020/4/10,Albania,416
2020/4/11,Albania,433
2020/4/12,Albania,446
2020/4/13,Albania,467
