Date,Province_name,Confirmed
2020/2/2,New South Wales,4
2020/2/3,New South Wales,4
2020/2/4,New South Wales,4
2020/2/5,New South Wales,4
2020/2/6,New South Wales,4
2020/2/7,New South Wales,4
2020/2/8,New South Wales,4
2020/2/9,New South Wales,4
2020/2/10,New South Wales,4
2020/2/11,New South Wales,4
2020/2/12,New South Wales,4
2020/2/13,New South Wales,4
2020/2/14,New South Wales,4
2020/2/15,New South Wales,4
2020/2/16,New South Wales,4
2020/2/17,New South Wales,4
2020/2/18,New South Wales,4
2020/2/19,New South Wales,4
2020/2/20,New South Wales,4
2020/2/21,New South Wales,4
2020/2/22,New South Wales,4
2020/2/23,New South Wales,4
2020/2/24,New South Wales,4
2020/2/25,New South Wales,4
2020/2/26,New South Wales,4
2020/2/27,New South Wales,4
2020/2/28,New South Wales,4
2020/2/29,New South Wales,4
2020/3/1,New South Wales,6
2020/3/2,New South Wales,6
2020/3/3,New South Wales,13
2020/3/4,New South Wales,22
2020/3/5,New South Wales,22
2020/3/6,New South Wales,26
2020/3/7,New South Wales,28
2020/3/8,New South Wales,38
2020/3/9,New South Wales,48
2020/3/10,New South Wales,55
2020/3/11,New South Wales,65
2020/3/12,New South Wales,65
2020/3/13,New South Wales,92
2020/3/14,New South Wales,112
2020/3/15,New South Wales,134
2020/3/16,New South Wales,171
2020/3/17,New South Wales,210
2020/3/18,New South Wales,267
2020/3/19,New South Wales,307
2020/3/20,New South Wales,353
2020/3/21,New South Wales,436
2020/3/22,New South Wales,669
2020/3/23,New South Wales,669
2020/3/24,New South Wales,818
2020/3/25,New South Wales,1029
2020/3/26,New South Wales,1219
2020/3/27,New South Wales,1405
2020/3/28,New South Wales,1617
2020/3/29,New South Wales,1791
2020/3/30,New South Wales,2032
2020/3/31,New South Wales,2032
2020/4/1,New South Wales,2182
2020/4/2,New South Wales,2298
2020/4/3,New South Wales,2389
2020/4/4,New South Wales,2493
2020/4/5,New South Wales,2580
2020/4/6,New South Wales,2637
2020/4/7,New South Wales,2686
2020/4/8,New South Wales,2734
2020/4/9,New South Wales,2773
2020/4/10,New South Wales,2822
2020/4/11,New South Wales,2857
2020/4/12,New South Wales,2857
2020/4/13,New South Wales,2863
2020/4/14,New South Wales,2870
2020/4/15,New South Wales,2886
2020/4/16,New South Wales,2897
2020/4/17,New South Wales,2926
2020/4/18,New South Wales,2936
2020/4/19,New South Wales,2957
2020/4/20,New South Wales,2963
2020/4/21,New South Wales,2969
2020/4/22,New South Wales,2971
2020/4/23,New South Wales,2976
2020/4/24,New South Wales,2982
2020/4/25,New South Wales,2994
2020/4/26,New South Wales,3002
2020/4/27,New South Wales,3004
2020/4/28,New South Wales,3016
2020/4/29,New South Wales,3016
2020/4/30,New South Wales,3025
2020/5/1,New South Wales,3030
2020/5/2,New South Wales,3035
2020/5/3,New South Wales,3033
2020/5/4,New South Wales,3035
2020/5/5,New South Wales,3042
2020/5/6,New South Wales,3044
2020/5/7,New South Wales,3047
2020/5/8,New South Wales,3051
2020/5/9,New South Wales,3053
2020/5/10,New South Wales,3053
2020/5/11,New South Wales,3053
2020/5/12,New South Wales,3059
2020/5/13,New South Wales,3063
2020/5/14,New South Wales,3071
2020/5/15,New South Wales,3074
2020/5/16,New South Wales,3075
2020/5/17,New South Wales,3076
2020/5/18,New South Wales,3078
2020/5/19,New South Wales,3081
2020/5/20,New South Wales,3082
2020/5/21,New South Wales,3084
2020/5/22,New South Wales,3086
2020/5/23,New South Wales,3087
2020/5/24,New South Wales,3090
2020/5/25,New South Wales,3092
2020/5/26,New South Wales,3089
2020/5/27,New South Wales,3090
2020/5/28,New South Wales,3092
2020/5/29,New South Wales,3092
2020/5/30,New South Wales,3095
2020/5/31,New South Wales,3098
2020/6/1,New South Wales,3104
2020/6/2,New South Wales,3104
2020/6/3,New South Wales,3106
2020/6/4,New South Wales,3110
2020/6/5,New South Wales,3110
2020/6/6,New South Wales,3109
2020/6/7,New South Wales,3112
2020/6/8,New South Wales,3114
2020/6/9,New South Wales,3117
2020/6/10,New South Wales,3117
2020/6/11,New South Wales,3115
2020/6/12,New South Wales,3119
2020/6/13,New South Wales,3128
2020/6/14,New South Wales,3131
2020/6/15,New South Wales,3134
2020/6/16,New South Wales,3135
2020/6/17,New South Wales,3137
2020/6/18,New South Wales,3143
2020/6/19,New South Wales,3144
2020/6/20,New South Wales,3149
2020/6/21,New South Wales,3151
2020/6/22,New South Wales,3150
2020/6/23,New South Wales,3159
2020/6/24,New South Wales,3162
2020/6/25,New South Wales,3168
2020/6/26,New South Wales,3174
2020/6/27,New South Wales,3177
2020/6/28,New South Wales,3184
2020/6/29,New South Wales,3189
2020/6/30,New South Wales,3203
2020/7/1,New South Wales,3211
2020/7/2,New South Wales,3211
2020/7/3,New South Wales,3405
2020/7/4,New South Wales,3419
2020/7/5,New South Wales,3429
2020/7/6,New South Wales,3433
2020/7/7,New South Wales,3440
2020/7/8,New South Wales,3453
2020/7/9,New South Wales,3467
2020/7/10,New South Wales,3474
2020/7/11,New South Wales,3478
2020/7/12,New South Wales,3492
2020/7/13,New South Wales,3505
2020/7/14,New South Wales,3517
2020/7/15,New South Wales,3527
2020/7/16,New South Wales,3535
2020/7/17,New South Wales,3550
2020/7/18,New South Wales,3568
2020/7/19,New South Wales,3588
2020/7/20,New South Wales,3599
2020/7/21,New South Wales,3614
2020/7/22,New South Wales,3633
2020/7/23,New South Wales,3640
2020/7/24,New South Wales,3654
2020/7/25,New South Wales,3668
2020/7/26,New South Wales,3685
2020/7/27,New South Wales,3699
2020/7/28,New South Wales,3718
2020/7/29,New South Wales,3736
2020/7/30,New South Wales,3756
2020/7/31,New South Wales,3773
2020/8/1,New South Wales,3784
2020/8/2,New South Wales,3797
2020/8/3,New South Wales,3809
2020/8/4,New South Wales,3820
2020/8/5,New South Wales,3832
2020/8/6,New South Wales,3842
2020/8/7,New South Wales,3851
2020/8/8,New South Wales,3861
2020/8/9,New South Wales,3875
2020/8/10,New South Wales,3897
2020/8/11,New South Wales,3915
2020/8/12,New South Wales,3927
2020/8/13,New South Wales,3936
2020/8/14,New South Wales,3945
2020/8/15,New South Wales,3950
2020/8/16,New South Wales,3957
2020/8/17,New South Wales,3959
2020/8/18,New South Wales,3966
2020/8/19,New South Wales,3971
2020/8/20,New South Wales,3972
2020/8/21,New South Wales,3981
2020/8/22,New South Wales,3985
2020/8/23,New South Wales,3988
2020/8/24,New South Wales,3991
2020/8/25,New South Wales,3997
2020/8/26,New South Wales,4006
2020/8/27,New South Wales,4019
2020/8/28,New South Wales,4033
2020/8/29,New South Wales,4040
2020/8/30,New South Wales,4050
2020/8/31,New South Wales,4063
2020/9/1,New South Wales,4079
2020/9/2,New South Wales,4091
2020/9/3,New South Wales,4099
2020/9/4,New South Wales,4104
2020/9/5,New South Wales,4114
2020/9/6,New South Wales,4118
2020/9/7,New South Wales,4126
2020/9/8,New South Wales,4135
2020/9/9,New South Wales,4142
2020/9/10,New South Wales,4152
2020/9/11,New South Wales,4157
2020/9/12,New South Wales,4166
2020/9/13,New South Wales,4170
2020/9/14,New South Wales,4177
2020/9/15,New South Wales,4185
2020/9/16,New South Wales,4190
2020/9/17,New South Wales,4196
2020/9/18,New South Wales,4198
2020/9/19,New South Wales,4200
2020/9/20,New South Wales,4204
2020/9/21,New South Wales,4206
2020/9/22,New South Wales,4212
2020/9/23,New South Wales,4213
2020/9/24,New South Wales,4217
2020/9/25,New South Wales,4218
2020/9/26,New South Wales,4218
2020/9/27,New South Wales,4218
2020/9/28,New South Wales,4220
2020/9/29,New South Wales,4224
2020/9/30,New South Wales,4227
2020/10/1,New South Wales,4231
2020/10/2,New South Wales,4232
2020/10/3,New South Wales,4234
2020/10/4,New South Wales,4235
2020/10/5,New South Wales,4246
2020/10/6,New South Wales,4249
2020/10/7,New South Wales,4261
2020/10/8,New South Wales,4271
2020/10/9,New South Wales,4273
2020/10/10,New South Wales,4278
2020/10/11,New South Wales,4284
2020/10/12,New South Wales,4295
2020/10/13,New South Wales,4310
2020/10/14,New South Wales,4321
2020/10/15,New South Wales,4326
2020/10/16,New South Wales,4333
2020/10/17,New South Wales,4338
2020/10/18,New South Wales,4342
2020/10/19,New South Wales,4347
2020/10/20,New South Wales,4357
2020/10/21,New South Wales,4363
2020/10/22,New South Wales,4370
2020/10/23,New South Wales,4375
2020/10/24,New South Wales,4382
2020/10/25,New South Wales,4386
2020/10/26,New South Wales,4398
2020/10/27,New South Wales,4406
2020/10/28,New South Wales,4411
2020/10/29,New South Wales,4417
2020/10/30,New South Wales,4421
2020/10/31,New South Wales,4425
2020/11/1,New South Wales,4432
2020/11/2,New South Wales,4435
2020/11/3,New South Wales,4443
2020/11/4,New South Wales,4445
2020/11/5,New South Wales,4454
2020/11/6,New South Wales,4459
2020/11/7,New South Wales,4462
2020/11/8,New South Wales,4469
2020/11/9,New South Wales,4469
2020/11/10,New South Wales,4469
2020/11/11,New South Wales,4469
2020/11/12,New South Wales,4469
2020/11/13,New South Wales,4469
2020/11/14,New South Wales,4486
2020/11/15,New South Wales,4498
2020/11/16,New South Wales,4502
2020/11/17,New South Wales,4509
2020/11/18,New South Wales,4514
2020/11/19,New South Wales,4517
2020/11/20,New South Wales,4527
2020/11/21,New South Wales,4538
2020/11/22,New South Wales,4542
2020/11/23,New South Wales,4548
2020/11/24,New South Wales,4552
2020/11/25,New South Wales,4552
2020/11/26,New South Wales,4556
2020/11/27,New South Wales,4564
2020/11/28,New South Wales,4568
2020/11/29,New South Wales,4577
2020/11/30,New South Wales,4582
2020/12/1,New South Wales,4588
2020/12/2,New South Wales,4597
2020/12/3,New South Wales,4603
2020/12/4,New South Wales,4605
2020/12/5,New South Wales,4610
2020/12/6,New South Wales,4614
2020/12/7,New South Wales,4620
2020/12/8,New South Wales,4622
2020/12/9,New South Wales,4624
2020/12/10,New South Wales,4633
2020/12/11,New South Wales,4639
2020/12/12,New South Wales,4642
2020/12/13,New South Wales,4645
2020/12/14,New South Wales,4650
2020/12/15,New South Wales,4657
2020/12/16,New South Wales,4666
2020/12/17,New South Wales,4682
2020/12/18,New South Wales,4712
2020/12/19,New South Wales,4748
2020/12/20,New South Wales,4771
2020/12/21,New South Wales,4789
2020/12/22,New South Wales,4805
2020/12/23,New South Wales,4823
2020/12/24,New South Wales,4832
2020/12/25,New South Wales,4847
2020/12/26,New South Wales,4858
2020/12/27,New South Wales,4872
2020/12/28,New South Wales,4881
2020/12/29,New South Wales,4906
2020/1/22,Northern Territory,0
2020/1/23,Northern Territory,0
2020/1/24,Northern Territory,0
2020/1/25,Northern Territory,0
2020/1/26,Northern Territory,0
2020/1/27,Northern Territory,0
2020/1/28,Northern Territory,0
2020/1/29,Northern Territory,0
2020/1/30,Northern Territory,0
2020/1/31,Northern Territory,0
2020/2/1,Northern Territory,0
2020/2/2,Northern Territory,0
2020/2/3,Northern Territory,0
2020/2/4,Northern Territory,0
2020/2/5,Northern Territory,0
2020/2/6,Northern Territory,0
2020/2/7,Northern Territory,0
2020/2/8,Northern Territory,0
2020/2/9,Northern Territory,0
2020/2/10,Northern Territory,0
2020/2/11,Northern Territory,0
2020/2/12,Northern Territory,0
2020/2/13,Northern Territory,0
2020/2/14,Northern Territory,0
2020/2/15,Northern Territory,0
2020/2/16,Northern Territory,0
2020/2/17,Northern Territory,0
2020/2/18,Northern Territory,0
2020/2/19,Northern Territory,0
2020/2/20,Northern Territory,0
2020/2/21,Northern Territory,0
2020/2/22,Northern Territory,0
2020/2/23,Northern Territory,0
2020/2/24,Northern Territory,0
2020/2/25,Northern Territory,0
2020/2/26,Northern Territory,0
2020/2/27,Northern Territory,0
2020/2/28,Northern Territory,0
2020/2/29,Northern Territory,0
2020/3/1,Northern Territory,0
2020/3/2,Northern Territory,0
2020/3/3,Northern Territory,0
2020/3/4,Northern Territory,1
2020/3/5,Northern Territory,1
2020/3/6,Northern Territory,0
2020/3/7,Northern Territory,0
2020/3/8,Northern Territory,0
2020/3/9,Northern Territory,0
2020/3/10,Northern Territory,1
2020/3/11,Northern Territory,1
2020/3/12,Northern Territory,1
2020/3/13,Northern Territory,1
2020/3/14,Northern Territory,1
2020/3/15,Northern Territory,1
2020/3/16,Northern Territory,1
2020/3/17,Northern Territory,1
2020/3/18,Northern Territory,1
2020/3/19,Northern Territory,1
2020/3/20,Northern Territory,3
2020/3/21,Northern Territory,3
2020/3/22,Northern Territory,5
2020/3/23,Northern Territory,5
2020/3/24,Northern Territory,6
2020/3/25,Northern Territory,6
2020/3/26,Northern Territory,12
2020/3/27,Northern Territory,12
2020/3/28,Northern Territory,15
2020/3/29,Northern Territory,15
2020/3/30,Northern Territory,15
2020/3/31,Northern Territory,17
2020/4/1,Northern Territory,19
2020/4/2,Northern Territory,21
2020/4/3,Northern Territory,22
2020/4/4,Northern Territory,26
2020/4/5,Northern Territory,27
2020/4/6,Northern Territory,28
2020/4/7,Northern Territory,28
2020/4/8,Northern Territory,28
2020/4/9,Northern Territory,28
2020/4/10,Northern Territory,28
2020/4/11,Northern Territory,28
2020/4/12,Northern Territory,28
2020/4/13,Northern Territory,28
2020/4/14,Northern Territory,28
2020/4/15,Northern Territory,28
2020/4/16,Northern Territory,28
2020/4/17,Northern Territory,28
2020/4/18,Northern Territory,28
2020/4/19,Northern Territory,28
2020/4/20,Northern Territory,28
2020/4/21,Northern Territory,28
2020/4/22,Northern Territory,28
2020/4/23,Northern Territory,28
2020/4/24,Northern Territory,28
2020/4/25,Northern Territory,28
2020/4/26,Northern Territory,28
2020/4/27,Northern Territory,28
2020/4/28,Northern Territory,28
2020/4/29,Northern Territory,28
2020/4/30,Northern Territory,28
2020/5/1,Northern Territory,27
2020/5/2,Northern Territory,29
2020/5/3,Northern Territory,29
2020/5/4,Northern Territory,29
2020/5/5,Northern Territory,29
2020/5/6,Northern Territory,29
2020/5/7,Northern Territory,29
2020/5/8,Northern Territory,29
2020/5/9,Northern Territory,29
2020/5/10,Northern Territory,29
2020/5/11,Northern Territory,29
2020/5/12,Northern Territory,29
2020/5/13,Northern Territory,29
2020/5/14,Northern Territory,29
2020/5/15,Northern Territory,29
2020/5/16,Northern Territory,29
2020/5/17,Northern Territory,29
2020/5/18,Northern Territory,29
2020/5/19,Northern Territory,29
2020/5/20,Northern Territory,29
2020/5/21,Northern Territory,29
2020/5/22,Northern Territory,29
2020/5/23,Northern Territory,29
2020/5/24,Northern Territory,29
2020/5/25,Northern Territory,29
